index,task,phase,cl_result,run,tstamp,algorithm,manager,ewc_lambda,dense_size,ridge_result
0,0,0,0.8441,ewc,1693543192.0197256,ewc,True,0.1,256,0.8408
1,0,1,0.7344,ewc,1693543192.0197256,ewc,True,0.1,256,0.7719
2,0,2,0.6062,ewc,1693543192.0197256,ewc,True,0.1,256,0.7322
3,0,3,0.5752,ewc,1693543192.0197256,ewc,True,0.1,256,0.7151
4,0,4,0.5499,ewc,1693543192.0197256,ewc,True,0.1,256,0.7057
5,0,5,0.5334,ewc,1693543192.0197256,ewc,True,0.1,256,0.7036
6,0,6,0.484,ewc,1693543192.0197256,ewc,True,0.1,256,0.6858
7,0,7,0.424,ewc,1693543192.0197256,ewc,True,0.1,256,0.6747
8,0,8,0.3902,ewc,1693543192.0197256,ewc,True,0.1,256,0.668
9,0,9,0.4093,ewc,1693543192.0197256,ewc,True,0.1,256,0.6725
10,0,10,0.3756,ewc,1693543192.0197256,ewc,True,0.1,256,0.6628
11,1,0,0.1,ewc,1693543192.0197256,ewc,True,0.1,256,0.656
12,1,1,0.825,ewc,1693543192.0197256,ewc,True,0.1,256,0.832
13,1,2,0.76,ewc,1693543192.0197256,ewc,True,0.1,256,0.78
14,1,3,0.718,ewc,1693543192.0197256,ewc,True,0.1,256,0.772
15,1,4,0.693,ewc,1693543192.0197256,ewc,True,0.1,256,0.767
16,1,5,0.644,ewc,1693543192.0197256,ewc,True,0.1,256,0.755
17,1,6,0.589,ewc,1693543192.0197256,ewc,True,0.1,256,0.753
18,1,7,0.568,ewc,1693543192.0197256,ewc,True,0.1,256,0.763
19,1,8,0.491,ewc,1693543192.0197256,ewc,True,0.1,256,0.74
20,1,9,0.511,ewc,1693543192.0197256,ewc,True,0.1,256,0.756
21,1,10,0.5,ewc,1693543192.0197256,ewc,True,0.1,256,0.738
22,2,0,0.1,ewc,1693543192.0197256,ewc,True,0.1,256,0.538
23,2,1,0.1,ewc,1693543192.0197256,ewc,True,0.1,256,0.59
24,2,2,0.775,ewc,1693543192.0197256,ewc,True,0.1,256,0.775
25,2,3,0.648,ewc,1693543192.0197256,ewc,True,0.1,256,0.725
26,2,4,0.592,ewc,1693543192.0197256,ewc,True,0.1,256,0.683
27,2,5,0.585,ewc,1693543192.0197256,ewc,True,0.1,256,0.689
28,2,6,0.551,ewc,1693543192.0197256,ewc,True,0.1,256,0.695
