index,task,phase,cl_result,run,tstamp,algorithm,manager,gem_memory_strength,gem_patterns_per_experience,dense_size,ridge_result
0,0,0,0.8441,gem,1693769423.4413543,gem,True,-1.0,1000,256,0.8399
1,0,1,0.7154,gem,1693769423.4413543,gem,True,-1.0,1000,256,0.7745
2,0,2,0.532,gem,1693769423.4413543,gem,True,-1.0,1000,256,0.7184
3,0,3,0.4735,gem,1693769423.4413543,gem,True,-1.0,1000,256,0.7043
4,0,4,0.2186,gem,1693769423.4413543,gem,True,-1.0,1000,256,0.695
5,0,5,0.1956,gem,1693769423.4413543,gem,True,-1.0,1000,256,0.688
6,0,6,0.1951,gem,1693769423.4413543,gem,True,-1.0,1000,256,0.6837
7,0,7,0.1808,gem,1693769423.4413543,gem,True,-1.0,1000,256,0.6752
8,0,8,0.1871,gem,1693769423.4413543,gem,True,-1.0,1000,256,0.652
9,0,9,0.1637,gem,1693769423.4413543,gem,True,-1.0,1000,256,0.6586
10,0,10,0.1767,gem,1693769423.4413543,gem,True,-1.0,1000,256,0.6487
11,1,0,0.1,gem,1693769423.4413543,gem,True,-1.0,1000,256,0.672
12,1,1,0.849,gem,1693769423.4413543,gem,True,-1.0,1000,256,0.839
13,1,2,0.604,gem,1693769423.4413543,gem,True,-1.0,1000,256,0.774
14,1,3,0.494,gem,1693769423.4413543,gem,True,-1.0,1000,256,0.769
15,1,4,0.344,gem,1693769423.4413543,gem,True,-1.0,1000,256,0.757
16,1,5,0.35,gem,1693769423.4413543,gem,True,-1.0,1000,256,0.768
17,1,6,0.355,gem,1693769423.4413543,gem,True,-1.0,1000,256,0.747
18,1,7,0.346,gem,1693769423.4413543,gem,True,-1.0,1000,256,0.765
19,1,8,0.355,gem,1693769423.4413543,gem,True,-1.0,1000,256,0.745
20,1,9,0.328,gem,1693769423.4413543,gem,True,-1.0,1000,256,0.756
21,1,10,0.324,gem,1693769423.4413543,gem,True,-1.0,1000,256,0.749
22,2,0,0.1,gem,1693769423.4413543,gem,True,-1.0,1000,256,0.542
23,2,1,0.1,gem,1693769423.4413543,gem,True,-1.0,1000,256,0.614
24,2,2,0.804,gem,1693769423.4413543,gem,True,-1.0,1000,256,0.797
25,2,3,0.571,gem,1693769423.4413543,gem,True,-1.0,1000,256,0.719
26,2,4,0.326,gem,1693769423.4413543,gem,True,-1.0,1000,256,0.691
27,2,5,0.294,gem,1693769423.4413543,gem,True,-1.0,1000,256,0.71
28,2,6,0.265,gem,1693769423.4413543,gem,True,-1.0,1000,256,0.707
29,2,7,0.317,gem,1693769423.4413543,gem,True,-1.0,1000,256,0.696
30,2,8,0.302,gem,1693769423.4413543,gem,True,-1.0,1000,256,0.666
31,2,9,0.301,gem,1693769423.4413543,gem,True,-1.0,1000,256,0.672
32,2,10,0.286,gem,1693769423.4413543,gem,True,-1.0,1000,256,0.662
33,3,0,0.1,gem,1693769423.4413543,gem,True,-1.0,1000,256,0.622
34,3,1,0.1,gem,1693769423.4413543,gem,True,-1.0,1000,256,0.652
35,3,2,0.1,gem,1693769423.4413543,gem,True,-1.0,1000,256,0.66
36,3,3,0.82,gem,1693769423.4413543,gem,True,-1.0,1000,256,0.826
37,3,4,0.558,gem,1693769423.4413543,gem,True,-1.0,1000,256,0.786
38,3,5,0.451,gem,1693769423.4413543,gem,True,-1.0,1000,256,0.744
39,3,6,0.47,gem,1693769423.4413543,gem,True,-1.0,1000,256,0.77
40,3,7,0.409,gem,1693769423.4413543,gem,True,-1.0,1000,256,0.75
41,3,8,0.392,gem,1693769423.4413543,gem,True,-1.0,1000,256,0.755
42,3,9,0.351,gem,1693769423.4413543,gem,True,-1.0,1000,256,0.745
43,3,10,0.315,gem,1693769423.4413543,gem,True,-1.0,1000,256,0.748
44,4,0,0.1,gem,1693769423.4413543,gem,True,-1.0,1000,256,0.653
45,4,1,0.1,gem,1693769423.4413543,gem,True,-1.0,1000,256,0.717
46,4,2,0.1,gem,1693769423.4413543,gem,True,-1.0,1000,256,0.709
47,4,3,0.1,gem,1693769423.4413543,gem,True,-1.0,1000,256,0.733
48,4,4,0.857,gem,1693769423.4413543,gem,True,-1.0,1000,256,0.856
49,4,5,0.707,gem,1693769423.4413543,gem,True,-1.0,1000,256,0.816
50,4,6,0.651,gem,1693769423.4413543,gem,True,-1.0,1000,256,0.799
51,4,7,0.451,gem,1693769423.4413543,gem,True,-1.0,1000,256,0.78
52,4,8,0.293,gem,1693769423.4413543,gem,True,-1.0,1000,256,0.76
53,4,9,0.257,gem,1693769423.4413543,gem,True,-1.0,1000,256,0.744
54,4,10,0.23,gem,1693769423.4413543,gem,True,-1.0,1000,256,0.754
55,5,0,0.1,gem,1693769423.4413543,gem,True,-1.0,1000,256,0.612
56,5,1,0.1,gem,1693769423.4413543,gem,True,-1.0,1000,256,0.652
57,5,2,0.1,gem,1693769423.4413543,gem,True,-1.0,1000,256,0.682
58,5,3,0.1,gem,1693769423.4413543,gem,True,-1.0,1000,256,0.683
59,5,4,0.1,gem,1693769423.4413543,gem,True,-1.0,1000,256,0.688
60,5,5,0.825,gem,1693769423.4413543,gem,True,-1.0,1000,256,0.83
61,5,6,0.675,gem,1693769423.4413543,gem,True,-1.0,1000,256,0.791
62,5,7,0.493,gem,1693769423.4413543,gem,True,-1.0,1000,256,0.788
63,5,8,0.367,gem,1693769423.4413543,gem,True,-1.0,1000,256,0.774
64,5,9,0.325,gem,1693769423.4413543,gem,True,-1.0,1000,256,0.748
65,5,10,0.31,gem,1693769423.4413543,gem,True,-1.0,1000,256,0.754
66,6,0,0.1,gem,1693769423.4413543,gem,True,-1.0,1000,256,0.62
67,6,1,0.1,gem,1693769423.4413543,gem,True,-1.0,1000,256,0.692
68,6,2,0.1,gem,1693769423.4413543,gem,True,-1.0,1000,256,0.725
69,6,3,0.1,gem,1693769423.4413543,gem,True,-1.0,1000,256,0.727
70,6,4,0.1,gem,1693769423.4413543,gem,True,-1.0,1000,256,0.716
71,6,5,0.1,gem,1693769423.4413543,gem,True,-1.0,1000,256,0.755
72,6,6,0.867,gem,1693769423.4413543,gem,True,-1.0,1000,256,0.871
73,6,7,0.58,gem,1693769423.4413543,gem,True,-1.0,1000,256,0.829
74,6,8,0.445,gem,1693769423.4413543,gem,True,-1.0,1000,256,0.814
75,6,9,0.36,gem,1693769423.4413543,gem,True,-1.0,1000,256,0.776
76,6,10,0.342,gem,1693769423.4413543,gem,True,-1.0,1000,256,0.789
77,7,0,0.1,gem,1693769423.4413543,gem,True,-1.0,1000,256,0.57
78,7,1,0.1,gem,1693769423.4413543,gem,True,-1.0,1000,256,0.629
79,7,2,0.1,gem,1693769423.4413543,gem,True,-1.0,1000,256,0.621
80,7,3,0.1,gem,1693769423.4413543,gem,True,-1.0,1000,256,0.635
81,7,4,0.1,gem,1693769423.4413543,gem,True,-1.0,1000,256,0.641
82,7,5,0.1,gem,1693769423.4413543,gem,True,-1.0,1000,256,0.659
83,7,6,0.1,gem,1693769423.4413543,gem,True,-1.0,1000,256,0.648
84,7,7,0.794,gem,1693769423.4413543,gem,True,-1.0,1000,256,0.789
85,7,8,0.587,gem,1693769423.4413543,gem,True,-1.0,1000,256,0.745
86,7,9,0.483,gem,1693769423.4413543,gem,True,-1.0,1000,256,0.713
87,7,10,0.466,gem,1693769423.4413543,gem,True,-1.0,1000,256,0.719
88,8,0,0.1,gem,1693769423.4413543,gem,True,-1.0,1000,256,0.642
89,8,1,0.1,gem,1693769423.4413543,gem,True,-1.0,1000,256,0.696
90,8,2,0.1,gem,1693769423.4413543,gem,True,-1.0,1000,256,0.687
91,8,3,0.1,gem,1693769423.4413543,gem,True,-1.0,1000,256,0.731
92,8,4,0.1,gem,1693769423.4413543,gem,True,-1.0,1000,256,0.73
93,8,5,0.1,gem,1693769423.4413543,gem,True,-1.0,1000,256,0.737
94,8,6,0.1,gem,1693769423.4413543,gem,True,-1.0,1000,256,0.746
95,8,7,0.1,gem,1693769423.4413543,gem,True,-1.0,1000,256,0.764
96,8,8,0.847,gem,1693769423.4413543,gem,True,-1.0,1000,256,0.845
97,8,9,0.694,gem,1693769423.4413543,gem,True,-1.0,1000,256,0.826
98,8,10,0.595,gem,1693769423.4413543,gem,True,-1.0,1000,256,0.788
99,9,0,0.1,gem,1693769423.4413543,gem,True,-1.0,1000,256,0.609
100,9,1,0.1,gem,1693769423.4413543,gem,True,-1.0,1000,256,0.661
101,9,2,0.1,gem,1693769423.4413543,gem,True,-1.0,1000,256,0.671
102,9,3,0.1,gem,1693769423.4413543,gem,True,-1.0,1000,256,0.696
103,9,4,0.1,gem,1693769423.4413543,gem,True,-1.0,1000,256,0.694
104,9,5,0.1,gem,1693769423.4413543,gem,True,-1.0,1000,256,0.695
105,9,6,0.1,gem,1693769423.4413543,gem,True,-1.0,1000,256,0.687
106,9,7,0.1,gem,1693769423.4413543,gem,True,-1.0,1000,256,0.728
107,9,8,0.1,gem,1693769423.4413543,gem,True,-1.0,1000,256,0.743
108,9,9,0.82,gem,1693769423.4413543,gem,True,-1.0,1000,256,0.797
109,9,10,0.671,gem,1693769423.4413543,gem,True,-1.0,1000,256,0.787
110,10,0,0.1,gem,1693769423.4413543,gem,True,-1.0,1000,256,0.574
111,10,1,0.1,gem,1693769423.4413543,gem,True,-1.0,1000,256,0.613
112,10,2,0.1,gem,1693769423.4413543,gem,True,-1.0,1000,256,0.603
113,10,3,0.1,gem,1693769423.4413543,gem,True,-1.0,1000,256,0.637
114,10,4,0.1,gem,1693769423.4413543,gem,True,-1.0,1000,256,0.643
115,10,5,0.1,gem,1693769423.4413543,gem,True,-1.0,1000,256,0.674
116,10,6,0.1,gem,1693769423.4413543,gem,True,-1.0,1000,256,0.644
117,10,7,0.1,gem,1693769423.4413543,gem,True,-1.0,1000,256,0.668
118,10,8,0.1,gem,1693769423.4413543,gem,True,-1.0,1000,256,0.654
119,10,9,0.1,gem,1693769423.4413543,gem,True,-1.0,1000,256,0.668
120,10,10,0.789,gem,1693769423.4413543,gem,True,-1.0,1000,256,0.787
121,0,0,0.8441,gem,1693769423.4412098,gem,True,-1.0,10000,256,0.8408
122,0,1,0.7469,gem,1693769423.4412098,gem,True,-1.0,10000,256,0.7819
123,0,2,0.4305,gem,1693769423.4412098,gem,True,-1.0,10000,256,0.7188
124,0,3,0.2708,gem,1693769423.4412098,gem,True,-1.0,10000,256,0.6894
