index,task,phase,cl_result,run,tstamp,algorithm,manager,gem_memory_strength,gem_patterns_per_experience,dense_size,ridge_result
0,0,0,0.8281,gem,1695878805.995055,gem,True,1,15000,128,0.8216
1,0,1,0.7488,gem,1695878805.995055,gem,True,1,15000,128,0.7492
2,0,2,0.7279,gem,1695878805.995055,gem,True,1,15000,128,0.7543
3,0,3,0.7642,gem,1695878805.995055,gem,True,1,15000,128,0.7615
4,0,4,0.757,gem,1695878805.995055,gem,True,1,15000,128,0.7585
5,0,5,0.7544,gem,1695878805.995055,gem,True,1,15000,128,0.757
6,0,6,0.7476,gem,1695878805.995055,gem,True,1,15000,128,0.7504
7,0,7,0.7432,gem,1695878805.995055,gem,True,1,15000,128,0.7566
8,0,8,0.7434,gem,1695878805.995055,gem,True,1,15000,128,0.7496
9,0,9,0.7391,gem,1695878805.995055,gem,True,1,15000,128,0.7509
10,0,10,0.7398,gem,1695878805.995055,gem,True,1,15000,128,0.7423
11,1,0,0.1,gem,1695878805.995055,gem,True,1,15000,128,0.625
12,1,1,0.861,gem,1695878805.995055,gem,True,1,15000,128,0.846
13,1,2,0.779,gem,1695878805.995055,gem,True,1,15000,128,0.796
14,1,3,0.815,gem,1695878805.995055,gem,True,1,15000,128,0.816
15,1,4,0.806,gem,1695878805.995055,gem,True,1,15000,128,0.821
16,1,5,0.8,gem,1695878805.995055,gem,True,1,15000,128,0.813
17,1,6,0.786,gem,1695878805.995055,gem,True,1,15000,128,0.807
18,1,7,0.796,gem,1695878805.995055,gem,True,1,15000,128,0.821
19,1,8,0.795,gem,1695878805.995055,gem,True,1,15000,128,0.815
20,1,9,0.785,gem,1695878805.995055,gem,True,1,15000,128,0.829
21,1,10,0.779,gem,1695878805.995055,gem,True,1,15000,128,0.822
22,2,0,0.1,gem,1695878805.995055,gem,True,1,15000,128,0.427
23,2,1,0.1,gem,1695878805.995055,gem,True,1,15000,128,0.529
24,2,2,0.807,gem,1695878805.995055,gem,True,1,15000,128,0.792
25,2,3,0.771,gem,1695878805.995055,gem,True,1,15000,128,0.778
26,2,4,0.753,gem,1695878805.995055,gem,True,1,15000,128,0.763
27,2,5,0.766,gem,1695878805.995055,gem,True,1,15000,128,0.773
28,2,6,0.754,gem,1695878805.995055,gem,True,1,15000,128,0.737
29,2,7,0.738,gem,1695878805.995055,gem,True,1,15000,128,0.751
30,2,8,0.745,gem,1695878805.995055,gem,True,1,15000,128,0.746
31,2,9,0.738,gem,1695878805.995055,gem,True,1,15000,128,0.736
32,2,10,0.728,gem,1695878805.995055,gem,True,1,15000,128,0.737
33,3,0,0.1,gem,1695878805.995055,gem,True,1,15000,128,0.579
34,3,1,0.1,gem,1695878805.995055,gem,True,1,15000,128,0.622
35,3,2,0.1,gem,1695878805.995055,gem,True,1,15000,128,0.67
36,3,3,0.828,gem,1695878805.995055,gem,True,1,15000,128,0.829
37,3,4,0.813,gem,1695878805.995055,gem,True,1,15000,128,0.788
38,3,5,0.814,gem,1695878805.995055,gem,True,1,15000,128,0.794
39,3,6,0.792,gem,1695878805.995055,gem,True,1,15000,128,0.807
40,3,7,0.783,gem,1695878805.995055,gem,True,1,15000,128,0.798
41,3,8,0.789,gem,1695878805.995055,gem,True,1,15000,128,0.798
42,3,9,0.792,gem,1695878805.995055,gem,True,1,15000,128,0.788
43,3,10,0.792,gem,1695878805.995055,gem,True,1,15000,128,0.788
