index,task,phase,cl_result,run,tstamp,algorithm,manager,lwf_alpha,lwf_temperature,dense_size,ridge_result
0,0,0,0.8441,si_model_lwf,1695546548.9033654,lwf,True,0.01,1,256,0.8409
1,0,1,0.7716,si_model_lwf,1695546548.9033654,lwf,True,0.01,1,256,0.7953
2,0,2,0.6873,si_model_lwf,1695546548.9033654,lwf,True,0.01,1,256,0.7494
3,0,3,0.6538,si_model_lwf,1695546548.9033654,lwf,True,0.01,1,256,0.7397
4,0,4,0.6162,si_model_lwf,1695546548.9033654,lwf,True,0.01,1,256,0.7338
5,0,5,0.5828,si_model_lwf,1695546548.9033654,lwf,True,0.01,1,256,0.7281
6,0,6,0.5631,si_model_lwf,1695546548.9033654,lwf,True,0.01,1,256,0.7183
7,0,7,0.5167,si_model_lwf,1695546548.9033654,lwf,True,0.01,1,256,0.7115
8,0,8,0.4917,si_model_lwf,1695546548.9033654,lwf,True,0.01,1,256,0.7025
9,0,9,0.4609,si_model_lwf,1695546548.9033654,lwf,True,0.01,1,256,0.7001
10,0,10,0.4274,si_model_lwf,1695546548.9033654,lwf,True,0.01,1,256,0.6951
11,1,0,0.1,si_model_lwf,1695546548.9033654,lwf,True,0.01,1,256,0.68
12,1,1,0.843,si_model_lwf,1695546548.9033654,lwf,True,0.01,1,256,0.842
13,1,2,0.76,si_model_lwf,1695546548.9033654,lwf,True,0.01,1,256,0.798
14,1,3,0.721,si_model_lwf,1695546548.9033654,lwf,True,0.01,1,256,0.789
15,1,4,0.733,si_model_lwf,1695546548.9033654,lwf,True,0.01,1,256,0.804
16,1,5,0.693,si_model_lwf,1695546548.9033654,lwf,True,0.01,1,256,0.796
17,1,6,0.673,si_model_lwf,1695546548.9033654,lwf,True,0.01,1,256,0.78
18,1,7,0.63,si_model_lwf,1695546548.9033654,lwf,True,0.01,1,256,0.782
19,1,8,0.63,si_model_lwf,1695546548.9033654,lwf,True,0.01,1,256,0.775
20,1,9,0.597,si_model_lwf,1695546548.9033654,lwf,True,0.01,1,256,0.771
21,1,10,0.552,si_model_lwf,1695546548.9033654,lwf,True,0.01,1,256,0.774
22,2,0,0.1,si_model_lwf,1695546548.9033654,lwf,True,0.01,1,256,0.547
23,2,1,0.1,si_model_lwf,1695546548.9033654,lwf,True,0.01,1,256,0.6
24,2,2,0.784,si_model_lwf,1695546548.9033654,lwf,True,0.01,1,256,0.789
25,2,3,0.724,si_model_lwf,1695546548.9033654,lwf,True,0.01,1,256,0.729
26,2,4,0.693,si_model_lwf,1695546548.9033654,lwf,True,0.01,1,256,0.729
27,2,5,0.654,si_model_lwf,1695546548.9033654,lwf,True,0.01,1,256,0.722
28,2,6,0.632,si_model_lwf,1695546548.9033654,lwf,True,0.01,1,256,0.71
29,2,7,0.611,si_model_lwf,1695546548.9033654,lwf,True,0.01,1,256,0.715
30,2,8,0.566,si_model_lwf,1695546548.9033654,lwf,True,0.01,1,256,0.727
31,2,9,0.535,si_model_lwf,1695546548.9033654,lwf,True,0.01,1,256,0.719
32,2,10,0.507,si_model_lwf,1695546548.9033654,lwf,True,0.01,1,256,0.704
33,3,0,0.1,si_model_lwf,1695546548.9033654,lwf,True,0.01,1,256,0.659
34,3,1,0.1,si_model_lwf,1695546548.9033654,lwf,True,0.01,1,256,0.69
35,3,2,0.1,si_model_lwf,1695546548.9033654,lwf,True,0.01,1,256,0.668
36,3,3,0.829,si_model_lwf,1695546548.9033654,lwf,True,0.01,1,256,0.826
37,3,4,0.814,si_model_lwf,1695546548.9033654,lwf,True,0.01,1,256,0.811
38,3,5,0.777,si_model_lwf,1695546548.9033654,lwf,True,0.01,1,256,0.793
39,3,6,0.75,si_model_lwf,1695546548.9033654,lwf,True,0.01,1,256,0.802
40,3,7,0.72,si_model_lwf,1695546548.9033654,lwf,True,0.01,1,256,0.784
41,3,8,0.716,si_model_lwf,1695546548.9033654,lwf,True,0.01,1,256,0.788
42,3,9,0.709,si_model_lwf,1695546548.9033654,lwf,True,0.01,1,256,0.788
43,3,10,0.671,si_model_lwf,1695546548.9033654,lwf,True,0.01,1,256,0.808
44,4,0,0.1,si_model_lwf,1695546548.9033654,lwf,True,0.01,1,256,0.657
45,4,1,0.1,si_model_lwf,1695546548.9033654,lwf,True,0.01,1,256,0.711
46,4,2,0.1,si_model_lwf,1695546548.9033654,lwf,True,0.01,1,256,0.715
47,4,3,0.1,si_model_lwf,1695546548.9033654,lwf,True,0.01,1,256,0.752
48,4,4,0.869,si_model_lwf,1695546548.9033654,lwf,True,0.01,1,256,0.866
49,4,5,0.83,si_model_lwf,1695546548.9033654,lwf,True,0.01,1,256,0.83
50,4,6,0.798,si_model_lwf,1695546548.9033654,lwf,True,0.01,1,256,0.83
51,4,7,0.773,si_model_lwf,1695546548.9033654,lwf,True,0.01,1,256,0.808
52,4,8,0.732,si_model_lwf,1695546548.9033654,lwf,True,0.01,1,256,0.801
53,4,9,0.722,si_model_lwf,1695546548.9033654,lwf,True,0.01,1,256,0.799
54,4,10,0.677,si_model_lwf,1695546548.9033654,lwf,True,0.01,1,256,0.783
55,5,0,0.1,si_model_lwf,1695546548.9033654,lwf,True,0.01,1,256,0.621
56,5,1,0.1,si_model_lwf,1695546548.9033654,lwf,True,0.01,1,256,0.681
57,5,2,0.1,si_model_lwf,1695546548.9033654,lwf,True,0.01,1,256,0.682
58,5,3,0.1,si_model_lwf,1695546548.9033654,lwf,True,0.01,1,256,0.704
