index,task,phase,cl_result,run,tstamp,algorithm,manager,lwf_temperature,lwf_alpha,dense_size,ridge_result
0,0,0,0.8281,si_model_lwf,1695831804.9281797,lwf,True,1,0.05,128,0.8221
1,0,1,0.7294,si_model_lwf,1695831804.9281797,lwf,True,1,0.05,128,0.7611
2,0,2,0.6708,si_model_lwf,1695831804.9281797,lwf,True,1,0.05,128,0.7231
3,0,3,0.6114,si_model_lwf,1695831804.9281797,lwf,True,1,0.05,128,0.7058
4,0,4,0.57,si_model_lwf,1695831804.9281797,lwf,True,1,0.05,128,0.6954
5,0,5,0.5441,si_model_lwf,1695831804.9281797,lwf,True,1,0.05,128,0.6839
6,0,6,0.5111,si_model_lwf,1695831804.9281797,lwf,True,1,0.05,128,0.6833
7,0,7,0.4797,si_model_lwf,1695831804.9281797,lwf,True,1,0.05,128,0.6702
8,0,8,0.4626,si_model_lwf,1695831804.9281797,lwf,True,1,0.05,128,0.6612
9,0,9,0.4314,si_model_lwf,1695831804.9281797,lwf,True,1,0.05,128,0.6586
10,0,10,0.3955,si_model_lwf,1695831804.9281797,lwf,True,1,0.05,128,0.6582
11,1,0,0.1,si_model_lwf,1695831804.9281797,lwf,True,1,0.05,128,0.648
12,1,1,0.861,si_model_lwf,1695831804.9281797,lwf,True,1,0.05,128,0.849
13,1,2,0.796,si_model_lwf,1695831804.9281797,lwf,True,1,0.05,128,0.815
14,1,3,0.77,si_model_lwf,1695831804.9281797,lwf,True,1,0.05,128,0.814
15,1,4,0.77,si_model_lwf,1695831804.9281797,lwf,True,1,0.05,128,0.803
16,1,5,0.74,si_model_lwf,1695831804.9281797,lwf,True,1,0.05,128,0.789
17,1,6,0.721,si_model_lwf,1695831804.9281797,lwf,True,1,0.05,128,0.791
18,1,7,0.707,si_model_lwf,1695831804.9281797,lwf,True,1,0.05,128,0.775
19,1,8,0.685,si_model_lwf,1695831804.9281797,lwf,True,1,0.05,128,0.777
20,1,9,0.687,si_model_lwf,1695831804.9281797,lwf,True,1,0.05,128,0.772
21,1,10,0.657,si_model_lwf,1695831804.9281797,lwf,True,1,0.05,128,0.767
22,2,0,0.1,si_model_lwf,1695831804.9281797,lwf,True,1,0.05,128,0.447
23,2,1,0.1,si_model_lwf,1695831804.9281797,lwf,True,1,0.05,128,0.542
24,2,2,0.799,si_model_lwf,1695831804.9281797,lwf,True,1,0.05,128,0.798
25,2,3,0.745,si_model_lwf,1695831804.9281797,lwf,True,1,0.05,128,0.755
26,2,4,0.722,si_model_lwf,1695831804.9281797,lwf,True,1,0.05,128,0.737
27,2,5,0.694,si_model_lwf,1695831804.9281797,lwf,True,1,0.05,128,0.722
28,2,6,0.638,si_model_lwf,1695831804.9281797,lwf,True,1,0.05,128,0.725
29,2,7,0.623,si_model_lwf,1695831804.9281797,lwf,True,1,0.05,128,0.714
30,2,8,0.586,si_model_lwf,1695831804.9281797,lwf,True,1,0.05,128,0.7
31,2,9,0.562,si_model_lwf,1695831804.9281797,lwf,True,1,0.05,128,0.7
32,2,10,0.514,si_model_lwf,1695831804.9281797,lwf,True,1,0.05,128,0.694
33,3,0,0.1,si_model_lwf,1695831804.9281797,lwf,True,1,0.05,128,0.576
34,3,1,0.1,si_model_lwf,1695831804.9281797,lwf,True,1,0.05,128,0.637
35,3,2,0.1,si_model_lwf,1695831804.9281797,lwf,True,1,0.05,128,0.654
36,3,3,0.82,si_model_lwf,1695831804.9281797,lwf,True,1,0.05,128,0.816
37,3,4,0.79,si_model_lwf,1695831804.9281797,lwf,True,1,0.05,128,0.801
38,3,5,0.771,si_model_lwf,1695831804.9281797,lwf,True,1,0.05,128,0.796
39,3,6,0.771,si_model_lwf,1695831804.9281797,lwf,True,1,0.05,128,0.8
40,3,7,0.708,si_model_lwf,1695831804.9281797,lwf,True,1,0.05,128,0.797
41,3,8,0.702,si_model_lwf,1695831804.9281797,lwf,True,1,0.05,128,0.785
42,3,9,0.701,si_model_lwf,1695831804.9281797,lwf,True,1,0.05,128,0.786
43,3,10,0.667,si_model_lwf,1695831804.9281797,lwf,True,1,0.05,128,0.793
44,4,0,0.1,si_model_lwf,1695831804.9281797,lwf,True,1,0.05,128,0.574
45,4,1,0.1,si_model_lwf,1695831804.9281797,lwf,True,1,0.05,128,0.685
46,4,2,0.1,si_model_lwf,1695831804.9281797,lwf,True,1,0.05,128,0.684
47,4,3,0.1,si_model_lwf,1695831804.9281797,lwf,True,1,0.05,128,0.701
48,4,4,0.849,si_model_lwf,1695831804.9281797,lwf,True,1,0.05,128,0.839
49,4,5,0.828,si_model_lwf,1695831804.9281797,lwf,True,1,0.05,128,0.832
50,4,6,0.8,si_model_lwf,1695831804.9281797,lwf,True,1,0.05,128,0.809
51,4,7,0.787,si_model_lwf,1695831804.9281797,lwf,True,1,0.05,128,0.807
52,4,8,0.791,si_model_lwf,1695831804.9281797,lwf,True,1,0.05,128,0.814
53,4,9,0.763,si_model_lwf,1695831804.9281797,lwf,True,1,0.05,128,0.794
54,4,10,0.718,si_model_lwf,1695831804.9281797,lwf,True,1,0.05,128,0.803
55,5,0,0.1,si_model_lwf,1695831804.9281797,lwf,True,1,0.05,128,0.562
56,5,1,0.1,si_model_lwf,1695831804.9281797,lwf,True,1,0.05,128,0.632
57,5,2,0.1,si_model_lwf,1695831804.9281797,lwf,True,1,0.05,128,0.648
58,5,3,0.1,si_model_lwf,1695831804.9281797,lwf,True,1,0.05,128,0.681
59,5,4,0.1,si_model_lwf,1695831804.9281797,lwf,True,1,0.05,128,0.703
60,5,5,0.823,si_model_lwf,1695831804.9281797,lwf,True,1,0.05,128,0.822
61,5,6,0.807,si_model_lwf,1695831804.9281797,lwf,True,1,0.05,128,0.805
62,5,7,0.787,si_model_lwf,1695831804.9281797,lwf,True,1,0.05,128,0.793
63,5,8,0.769,si_model_lwf,1695831804.9281797,lwf,True,1,0.05,128,0.791
64,5,9,0.745,si_model_lwf,1695831804.9281797,lwf,True,1,0.05,128,0.775
65,5,10,0.72,si_model_lwf,1695831804.9281797,lwf,True,1,0.05,128,0.784
66,6,0,0.1,si_model_lwf,1695831804.9281797,lwf,True,1,0.05,128,0.552
67,6,1,0.1,si_model_lwf,1695831804.9281797,lwf,True,1,0.05,128,0.628
68,6,2,0.1,si_model_lwf,1695831804.9281797,lwf,True,1,0.05,128,0.656
69,6,3,0.1,si_model_lwf,1695831804.9281797,lwf,True,1,0.05,128,0.659
70,6,4,0.1,si_model_lwf,1695831804.9281797,lwf,True,1,0.05,128,0.69
