index,task,phase,cl_result,run,tstamp,algorithm,manager,replay_mem_size,dense_size,ridge_result
0,0,0,0.836,replay,1695512228.8104541,replay,True,10,512,0.836
1,0,1,0.7539,replay,1695512228.8104541,replay,True,10,512,0.7918
2,0,2,0.6991,replay,1695512228.8104541,replay,True,10,512,0.761
3,0,3,0.6482,replay,1695512228.8104541,replay,True,10,512,0.7371
4,0,4,0.6453,replay,1695512228.8104541,replay,True,10,512,0.7312
5,0,5,0.6012,replay,1695512228.8104541,replay,True,10,512,0.7257
6,0,6,0.5807,replay,1695512228.8104541,replay,True,10,512,0.715
7,0,7,0.5354,replay,1695512228.8104541,replay,True,10,512,0.7117
8,0,8,0.517,replay,1695512228.8104541,replay,True,10,512,0.7041
9,0,9,0.5268,replay,1695512228.8104541,replay,True,10,512,0.7068
10,0,10,0.4917,replay,1695512228.8104541,replay,True,10,512,0.7033
11,1,0,0.1,replay,1695512228.8104541,replay,True,10,512,0.682
12,1,1,0.833,replay,1695512228.8104541,replay,True,10,512,0.828
13,1,2,0.779,replay,1695512228.8104541,replay,True,10,512,0.809
14,1,3,0.754,replay,1695512228.8104541,replay,True,10,512,0.808
15,1,4,0.742,replay,1695512228.8104541,replay,True,10,512,0.794
16,1,5,0.708,replay,1695512228.8104541,replay,True,10,512,0.792
17,1,6,0.678,replay,1695512228.8104541,replay,True,10,512,0.792
18,1,7,0.69,replay,1695512228.8104541,replay,True,10,512,0.796
19,1,8,0.663,replay,1695512228.8104541,replay,True,10,512,0.784
20,1,9,0.632,replay,1695512228.8104541,replay,True,10,512,0.784
21,1,10,0.623,replay,1695512228.8104541,replay,True,10,512,0.763
22,2,0,0.1,replay,1695512228.8104541,replay,True,10,512,0.565
23,2,1,0.1,replay,1695512228.8104541,replay,True,10,512,0.628
24,2,2,0.81,replay,1695512228.8104541,replay,True,10,512,0.804
25,2,3,0.745,replay,1695512228.8104541,replay,True,10,512,0.775
26,2,4,0.663,replay,1695512228.8104541,replay,True,10,512,0.738
