index,task,phase,cl_result,run,tstamp,algorithm,manager,replay_mem_size,dense_size,ridge_result
0,0,0,0.833,replay,1695845549.385891,replay,True,40000,128,0.8322
1,0,1,0.8237,replay,1695845549.385891,replay,True,40000,128,0.8185
2,0,2,0.8212,replay,1695845549.385891,replay,True,40000,128,0.8195
3,0,3,0.8096,replay,1695845549.385891,replay,True,40000,128,0.807
4,0,4,0.7995,replay,1695845549.385891,replay,True,40000,128,0.8013
5,0,5,0.7992,replay,1695845549.385891,replay,True,40000,128,0.7968
6,0,6,0.7962,replay,1695845549.385891,replay,True,40000,128,0.7938
7,0,7,0.7856,replay,1695845549.385891,replay,True,40000,128,0.7821
8,0,8,0.7868,replay,1695845549.385891,replay,True,40000,128,0.7837
9,0,9,0.7722,replay,1695845549.385891,replay,True,40000,128,0.7756
10,0,10,0.7675,replay,1695845549.385891,replay,True,40000,128,0.775
11,1,0,0.1,replay,1695845549.385891,replay,True,40000,128,0.619
12,1,1,0.863,replay,1695845549.385891,replay,True,40000,128,0.856
13,1,2,0.851,replay,1695845549.385891,replay,True,40000,128,0.84
14,1,3,0.842,replay,1695845549.385891,replay,True,40000,128,0.832
15,1,4,0.857,replay,1695845549.385891,replay,True,40000,128,0.848
16,1,5,0.861,replay,1695845549.385891,replay,True,40000,128,0.842
17,1,6,0.846,replay,1695845549.385891,replay,True,40000,128,0.854
18,1,7,0.863,replay,1695845549.385891,replay,True,40000,128,0.85
19,1,8,0.852,replay,1695845549.385891,replay,True,40000,128,0.848
20,1,9,0.863,replay,1695845549.385891,replay,True,40000,128,0.853
21,1,10,0.853,replay,1695845549.385891,replay,True,40000,128,0.842
22,2,0,0.1,replay,1695845549.385891,replay,True,40000,128,0.555
23,2,1,0.1,replay,1695845549.385891,replay,True,40000,128,0.626
24,2,2,0.792,replay,1695845549.385891,replay,True,40000,128,0.793
25,2,3,0.757,replay,1695845549.385891,replay,True,40000,128,0.773
26,2,4,0.773,replay,1695845549.385891,replay,True,40000,128,0.763
27,2,5,0.769,replay,1695845549.385891,replay,True,40000,128,0.771
28,2,6,0.77,replay,1695845549.385891,replay,True,40000,128,0.776
29,2,7,0.776,replay,1695845549.385891,replay,True,40000,128,0.785
30,2,8,0.786,replay,1695845549.385891,replay,True,40000,128,0.788
31,2,9,0.771,replay,1695845549.385891,replay,True,40000,128,0.773
32,2,10,0.778,replay,1695845549.385891,replay,True,40000,128,0.783
33,3,0,0.1,replay,1695845549.385891,replay,True,40000,128,0.486
34,3,1,0.1,replay,1695845549.385891,replay,True,40000,128,0.556
35,3,2,0.1,replay,1695845549.385891,replay,True,40000,128,0.63
36,3,3,0.836,replay,1695845549.385891,replay,True,40000,128,0.828
37,3,4,0.824,replay,1695845549.385891,replay,True,40000,128,0.807
38,3,5,0.807,replay,1695845549.385891,replay,True,40000,128,0.795
39,3,6,0.822,replay,1695845549.385891,replay,True,40000,128,0.805
40,3,7,0.82,replay,1695845549.385891,replay,True,40000,128,0.804
41,3,8,0.821,replay,1695845549.385891,replay,True,40000,128,0.812
42,3,9,0.809,replay,1695845549.385891,replay,True,40000,128,0.819
43,3,10,0.816,replay,1695845549.385891,replay,True,40000,128,0.813
44,4,0,0.1,replay,1695845549.385891,replay,True,40000,128,0.597
45,4,1,0.1,replay,1695845549.385891,replay,True,40000,128,0.701
46,4,2,0.1,replay,1695845549.385891,replay,True,40000,128,0.721
47,4,3,0.1,replay,1695845549.385891,replay,True,40000,128,0.737
48,4,4,0.871,replay,1695845549.385891,replay,True,40000,128,0.876
49,4,5,0.852,replay,1695845549.385891,replay,True,40000,128,0.855
50,4,6,0.861,replay,1695845549.385891,replay,True,40000,128,0.846
51,4,7,0.863,replay,1695845549.385891,replay,True,40000,128,0.862
52,4,8,0.856,replay,1695845549.385891,replay,True,40000,128,0.849
53,4,9,0.856,replay,1695845549.385891,replay,True,40000,128,0.857
54,4,10,0.845,replay,1695845549.385891,replay,True,40000,128,0.855
55,5,0,0.1,replay,1695845549.385891,replay,True,40000,128,0.573
56,5,1,0.1,replay,1695845549.385891,replay,True,40000,128,0.691
57,5,2,0.1,replay,1695845549.385891,replay,True,40000,128,0.731
58,5,3,0.1,replay,1695845549.385891,replay,True,40000,128,0.744
59,5,4,0.1,replay,1695845549.385891,replay,True,40000,128,0.754
60,5,5,0.867,replay,1695845549.385891,replay,True,40000,128,0.863
61,5,6,0.854,replay,1695845549.385891,replay,True,40000,128,0.851
62,5,7,0.866,replay,1695845549.385891,replay,True,40000,128,0.855
63,5,8,0.858,replay,1695845549.385891,replay,True,40000,128,0.858
64,5,9,0.863,replay,1695845549.385891,replay,True,40000,128,0.845
65,5,10,0.848,replay,1695845549.385891,replay,True,40000,128,0.85
66,6,0,0.1,replay,1695845549.385891,replay,True,40000,128,0.553
67,6,1,0.1,replay,1695845549.385891,replay,True,40000,128,0.618
68,6,2,0.1,replay,1695845549.385891,replay,True,40000,128,0.639
69,6,3,0.1,replay,1695845549.385891,replay,True,40000,128,0.676
70,6,4,0.1,replay,1695845549.385891,replay,True,40000,128,0.676
