index,task,phase,cl_result,run,tstamp,algorithm,manager,si_lambda,si_eps,dense_size,ridge_result
0,0,0,0.836,si,1693682353.8882864,si,True,0.01,1e-08,512,0.8362
1,0,1,0.7508,si,1693682353.8882864,si,True,0.01,1e-08,512,0.7857
2,0,2,0.6512,si,1693682353.8882864,si,True,0.01,1e-08,512,0.7341
3,0,3,0.5749,si,1693682353.8882864,si,True,0.01,1e-08,512,0.7114
4,0,4,0.5408,si,1693682353.8882864,si,True,0.01,1e-08,512,0.7064
5,0,5,0.5474,si,1693682353.8882864,si,True,0.01,1e-08,512,0.7072
6,0,6,0.4577,si,1693682353.8882864,si,True,0.01,1e-08,512,0.689
7,0,7,0.488,si,1693682353.8882864,si,True,0.01,1e-08,512,0.6902
8,0,8,0.4353,si,1693682353.8882864,si,True,0.01,1e-08,512,0.6748
9,0,9,0.4435,si,1693682353.8882864,si,True,0.01,1e-08,512,0.6693
10,0,10,0.4123,si,1693682353.8882864,si,True,0.01,1e-08,512,0.6656
11,1,0,0.1,si,1693682353.8882864,si,True,0.01,1e-08,512,0.679
12,1,1,0.827,si,1693682353.8882864,si,True,0.01,1e-08,512,0.832
13,1,2,0.764,si,1693682353.8882864,si,True,0.01,1e-08,512,0.796
14,1,3,0.706,si,1693682353.8882864,si,True,0.01,1e-08,512,0.758
15,1,4,0.674,si,1693682353.8882864,si,True,0.01,1e-08,512,0.761
16,1,5,0.708,si,1693682353.8882864,si,True,0.01,1e-08,512,0.774
17,1,6,0.664,si,1693682353.8882864,si,True,0.01,1e-08,512,0.773
18,1,7,0.624,si,1693682353.8882864,si,True,0.01,1e-08,512,0.77
19,1,8,0.577,si,1693682353.8882864,si,True,0.01,1e-08,512,0.775
20,1,9,0.588,si,1693682353.8882864,si,True,0.01,1e-08,512,0.78
21,1,10,0.524,si,1693682353.8882864,si,True,0.01,1e-08,512,0.759
22,2,0,0.1,si,1693682353.8882864,si,True,0.01,1e-08,512,0.571
23,2,1,0.1,si,1693682353.8882864,si,True,0.01,1e-08,512,0.616
24,2,2,0.793,si,1693682353.8882864,si,True,0.01,1e-08,512,0.805
25,2,3,0.654,si,1693682353.8882864,si,True,0.01,1e-08,512,0.743
26,2,4,0.556,si,1693682353.8882864,si,True,0.01,1e-08,512,0.71
27,2,5,0.527,si,1693682353.8882864,si,True,0.01,1e-08,512,0.699
28,2,6,0.497,si,1693682353.8882864,si,True,0.01,1e-08,512,0.696
29,2,7,0.48,si,1693682353.8882864,si,True,0.01,1e-08,512,0.707
30,2,8,0.472,si,1693682353.8882864,si,True,0.01,1e-08,512,0.682
31,2,9,0.436,si,1693682353.8882864,si,True,0.01,1e-08,512,0.7
32,2,10,0.428,si,1693682353.8882864,si,True,0.01,1e-08,512,0.682
33,3,0,0.1,si,1693682353.8882864,si,True,0.01,1e-08,512,0.651
34,3,1,0.1,si,1693682353.8882864,si,True,0.01,1e-08,512,0.684
35,3,2,0.1,si,1693682353.8882864,si,True,0.01,1e-08,512,0.7
36,3,3,0.834,si,1693682353.8882864,si,True,0.01,1e-08,512,0.813
37,3,4,0.757,si,1693682353.8882864,si,True,0.01,1e-08,512,0.769
38,3,5,0.695,si,1693682353.8882864,si,True,0.01,1e-08,512,0.772
39,3,6,0.597,si,1693682353.8882864,si,True,0.01,1e-08,512,0.755
40,3,7,0.59,si,1693682353.8882864,si,True,0.01,1e-08,512,0.759
41,3,8,0.571,si,1693682353.8882864,si,True,0.01,1e-08,512,0.744
42,3,9,0.579,si,1693682353.8882864,si,True,0.01,1e-08,512,0.747
43,3,10,0.556,si,1693682353.8882864,si,True,0.01,1e-08,512,0.734
44,4,0,0.1,si,1693682353.8882864,si,True,0.01,1e-08,512,0.666
45,4,1,0.1,si,1693682353.8882864,si,True,0.01,1e-08,512,0.725
46,4,2,0.1,si,1693682353.8882864,si,True,0.01,1e-08,512,0.726
47,4,3,0.1,si,1693682353.8882864,si,True,0.01,1e-08,512,0.74
48,4,4,0.849,si,1693682353.8882864,si,True,0.01,1e-08,512,0.842
49,4,5,0.771,si,1693682353.8882864,si,True,0.01,1e-08,512,0.809
50,4,6,0.704,si,1693682353.8882864,si,True,0.01,1e-08,512,0.81
