index,task,phase,cl_result,run,tstamp,algorithm,manager,ewc_lambda,ridge_result
0,0,0,0.542,ewc,1700436906.4590933,ewc,True,1,0.542
1,0,1,0.38,ewc,1700436906.4590933,ewc,True,1,0.454
2,0,2,0.323,ewc,1700436906.4590933,ewc,True,1,0.4445
3,0,3,0.2475,ewc,1700436906.4590933,ewc,True,1,0.4245
4,0,4,0.252,ewc,1700436906.4590933,ewc,True,1,0.4175
5,1,0,0.025,ewc,1700436906.4590933,ewc,True,1,0.4155
6,1,1,0.5785,ewc,1700436906.4590933,ewc,True,1,0.5805
7,1,2,0.413,ewc,1700436906.4590933,ewc,True,1,0.4895
8,1,3,0.3145,ewc,1700436906.4590933,ewc,True,1,0.46
9,1,4,0.312,ewc,1700436906.4590933,ewc,True,1,0.466
10,2,0,0.025,ewc,1700436906.4590933,ewc,True,1,0.367
11,2,1,0.025,ewc,1700436906.4590933,ewc,True,1,0.388
12,2,2,0.5285,ewc,1700436906.4590933,ewc,True,1,0.5285
13,2,3,0.368,ewc,1700436906.4590933,ewc,True,1,0.4305
14,2,4,0.3195,ewc,1700436906.4590933,ewc,True,1,0.3925
15,3,0,0.025,ewc,1700436906.4590933,ewc,True,1,0.3595
16,3,1,0.025,ewc,1700436906.4590933,ewc,True,1,0.375
17,3,2,0.025,ewc,1700436906.4590933,ewc,True,1,0.376
18,3,3,0.5385,ewc,1700436906.4590933,ewc,True,1,0.5435
19,3,4,0.2895,ewc,1700436906.4590933,ewc,True,1,0.4005
20,4,0,0.025,ewc,1700436906.4590933,ewc,True,1,0.337
21,4,1,0.025,ewc,1700436906.4590933,ewc,True,1,0.3345
22,4,2,0.025,ewc,1700436906.4590933,ewc,True,1,0.3585
23,4,3,0.025,ewc,1700436906.4590933,ewc,True,1,0.3565
24,4,4,0.4825,ewc,1700436906.4590933,ewc,True,1,0.485
25,0,0,0.542,ewc,1700436906.4646113,ewc,True,100,0.542
26,0,1,0.553,ewc,1700436906.4646113,ewc,True,100,0.5505
27,0,2,0.5855,ewc,1700436906.4646113,ewc,True,100,0.5775
28,0,3,0.5945,ewc,1700436906.4646113,ewc,True,100,0.5685
29,0,4,0.581,ewc,1700436906.4646113,ewc,True,100,0.565
30,1,0,0.025,ewc,1700436906.4646113,ewc,True,100,0.4405
31,1,1,0.55,ewc,1700436906.4646113,ewc,True,100,0.5475
32,1,2,0.5325,ewc,1700436906.4646113,ewc,True,100,0.5395
33,1,3,0.5325,ewc,1700436906.4646113,ewc,True,100,0.545
34,1,4,0.5435,ewc,1700436906.4646113,ewc,True,100,0.533
35,2,0,0.025,ewc,1700436906.4646113,ewc,True,100,0.42
36,2,1,0.025,ewc,1700436906.4646113,ewc,True,100,0.476
37,2,2,0.507,ewc,1700436906.4646113,ewc,True,100,0.499
38,2,3,0.4705,ewc,1700436906.4646113,ewc,True,100,0.4815
39,2,4,0.4935,ewc,1700436906.4646113,ewc,True,100,0.4855
40,3,0,0.025,ewc,1700436906.4646113,ewc,True,100,0.387
41,3,1,0.025,ewc,1700436906.4646113,ewc,True,100,0.433
42,3,2,0.025,ewc,1700436906.4646113,ewc,True,100,0.441
43,3,3,0.4715,ewc,1700436906.4646113,ewc,True,100,0.471
44,3,4,0.4655,ewc,1700436906.4646113,ewc,True,100,0.456
45,4,0,0.025,ewc,1700436906.4646113,ewc,True,100,0.3785
46,4,1,0.025,ewc,1700436906.4646113,ewc,True,100,0.406
47,4,2,0.025,ewc,1700436906.4646113,ewc,True,100,0.4155
48,4,3,0.025,ewc,1700436906.4646113,ewc,True,100,0.414
49,4,4,0.425,ewc,1700436906.4646113,ewc,True,100,0.4215
50,0,0,0.542,ewc,1700436906.4547284,ewc,True,10,0.542
51,0,1,0.4205,ewc,1700436906.4547284,ewc,True,10,0.4985
52,0,2,0.45,ewc,1700436906.4547284,ewc,True,10,0.53
53,0,3,0.4725,ewc,1700436906.4547284,ewc,True,10,0.5335
54,0,4,0.508,ewc,1700436906.4547284,ewc,True,10,0.552
55,1,0,0.025,ewc,1700436906.4547284,ewc,True,10,0.416
56,1,1,0.5545,ewc,1700436906.4547284,ewc,True,10,0.5565
57,1,2,0.466,ewc,1700436906.4547284,ewc,True,10,0.523
58,1,3,0.511,ewc,1700436906.4547284,ewc,True,10,0.536
59,1,4,0.51,ewc,1700436906.4547284,ewc,True,10,0.544
60,2,0,0.025,ewc,1700436906.4547284,ewc,True,10,0.38
61,2,1,0.025,ewc,1700436906.4547284,ewc,True,10,0.416
62,2,2,0.5245,ewc,1700436906.4547284,ewc,True,10,0.5205
63,2,3,0.468,ewc,1700436906.4547284,ewc,True,10,0.478
64,2,4,0.461,ewc,1700436906.4547284,ewc,True,10,0.492
65,3,0,0.025,ewc,1700436906.4547284,ewc,True,10,0.362
66,3,1,0.025,ewc,1700436906.4547284,ewc,True,10,0.393
67,3,2,0.025,ewc,1700436906.4547284,ewc,True,10,0.436
68,3,3,0.5275,ewc,1700436906.4547284,ewc,True,10,0.526
69,3,4,0.4285,ewc,1700436906.4547284,ewc,True,10,0.4645
70,4,0,0.025,ewc,1700436906.4547284,ewc,True,10,0.3455
71,4,1,0.025,ewc,1700436906.4547284,ewc,True,10,0.357
72,4,2,0.025,ewc,1700436906.4547284,ewc,True,10,0.387
73,4,3,0.025,ewc,1700436906.4547284,ewc,True,10,0.391
74,4,4,0.4515,ewc,1700436906.4547284,ewc,True,10,0.448
75,0,0,0.542,ewc,1700437044.5649877,ewc,True,1000,0.542
76,0,1,0.5795,ewc,1700437044.5649877,ewc,True,1000,0.5555
77,0,2,0.5825,ewc,1700437044.5649877,ewc,True,1000,0.57
78,0,3,0.5935,ewc,1700437044.5649877,ewc,True,1000,0.565
79,0,4,0.596,ewc,1700437044.5649877,ewc,True,1000,0.5615
80,1,0,0.025,ewc,1700437044.5649877,ewc,True,1000,0.471
81,1,1,0.497,ewc,1700437044.5649877,ewc,True,1000,0.4975
82,1,2,0.4965,ewc,1700437044.5649877,ewc,True,1000,0.4955
83,1,3,0.499,ewc,1700437044.5649877,ewc,True,1000,0.4945
84,1,4,0.4935,ewc,1700437044.5649877,ewc,True,1000,0.492
85,2,0,0.025,ewc,1700437044.5649877,ewc,True,1000,0.454
86,2,1,0.025,ewc,1700437044.5649877,ewc,True,1000,0.475
87,2,2,0.479,ewc,1700437044.5649877,ewc,True,1000,0.4725
88,2,3,0.4775,ewc,1700437044.5649877,ewc,True,1000,0.48
89,2,4,0.472,ewc,1700437044.5649877,ewc,True,1000,0.4795
90,3,0,0.025,ewc,1700437044.5649877,ewc,True,1000,0.426
91,3,1,0.025,ewc,1700437044.5649877,ewc,True,1000,0.4385
92,3,2,0.025,ewc,1700437044.5649877,ewc,True,1000,0.4415
93,3,3,0.4455,ewc,1700437044.5649877,ewc,True,1000,0.4425
94,3,4,0.449,ewc,1700437044.5649877,ewc,True,1000,0.44
95,4,0,0.025,ewc,1700437044.5649877,ewc,True,1000,0.4045
