index,task,phase,cl_result,run,tstamp,algorithm,manager,replay_mem_size,ridge_result
0,0,0,0.542,ewc,1700438599.6711855,replay,True,2500,0.542
1,0,1,0.5445,ewc,1700438599.6711855,replay,True,2500,0.5125
2,0,2,0.528,ewc,1700438599.6711855,replay,True,2500,0.4945
3,0,3,0.4675,ewc,1700438599.6711855,replay,True,2500,0.448
4,0,4,0.438,ewc,1700438599.6711855,replay,True,2500,0.4415
5,1,0,0.025,ewc,1700438599.6711855,replay,True,2500,0.4685
6,1,1,0.6385,ewc,1700438599.6711855,replay,True,2500,0.637
7,1,2,0.5565,ewc,1700438599.6711855,replay,True,2500,0.575
8,1,3,0.4945,ewc,1700438599.6711855,replay,True,2500,0.5405
9,1,4,0.4645,ewc,1700438599.6711855,replay,True,2500,0.539
10,2,0,0.025,ewc,1700438599.6711855,replay,True,2500,0.454
11,2,1,0.025,ewc,1700438599.6711855,replay,True,2500,0.464
12,2,2,0.6135,ewc,1700438599.6711855,replay,True,2500,0.617
13,2,3,0.5195,ewc,1700438599.6711855,replay,True,2500,0.5575
14,2,4,0.4785,ewc,1700438599.6711855,replay,True,2500,0.526
15,3,0,0.025,ewc,1700438599.6711855,replay,True,2500,0.417
16,3,1,0.025,ewc,1700438599.6711855,replay,True,2500,0.4415
17,3,2,0.025,ewc,1700438599.6711855,replay,True,2500,0.4615
18,3,3,0.588,ewc,1700438599.6711855,replay,True,2500,0.5895
19,3,4,0.48,ewc,1700438599.6711855,replay,True,2500,0.5305
20,4,0,0.025,ewc,1700438599.6711855,replay,True,2500,0.3855
21,4,1,0.025,ewc,1700438599.6711855,replay,True,2500,0.4175
22,4,2,0.025,ewc,1700438599.6711855,replay,True,2500,0.4245
23,4,3,0.025,ewc,1700438599.6711855,replay,True,2500,0.414
24,4,4,0.545,ewc,1700438599.6711855,replay,True,2500,0.5435
25,0,0,0.542,ewc,1700438599.6716614,replay,True,1000,0.542
26,0,1,0.5075,ewc,1700438599.6716614,replay,True,1000,0.491
27,0,2,0.4515,ewc,1700438599.6716614,replay,True,1000,0.4645
28,0,3,0.384,ewc,1700438599.6716614,replay,True,1000,0.4125
29,0,4,0.376,ewc,1700438599.6716614,replay,True,1000,0.423
30,1,0,0.025,ewc,1700438599.6716614,replay,True,1000,0.471
31,1,1,0.649,ewc,1700438599.6716614,replay,True,1000,0.6515
32,1,2,0.5255,ewc,1700438599.6716614,replay,True,1000,0.5725
33,1,3,0.442,ewc,1700438599.6716614,replay,True,1000,0.5535
34,1,4,0.4355,ewc,1700438599.6716614,replay,True,1000,0.5315
35,2,0,0.025,ewc,1700438599.6716614,replay,True,1000,0.4485
36,2,1,0.025,ewc,1700438599.6716614,replay,True,1000,0.4695
37,2,2,0.616,ewc,1700438599.6716614,replay,True,1000,0.6195
38,2,3,0.482,ewc,1700438599.6716614,replay,True,1000,0.535
39,2,4,0.439,ewc,1700438599.6716614,replay,True,1000,0.5075
40,3,0,0.025,ewc,1700438599.6716614,replay,True,1000,0.412
41,3,1,0.025,ewc,1700438599.6716614,replay,True,1000,0.4325
42,3,2,0.025,ewc,1700438599.6716614,replay,True,1000,0.4445
43,3,3,0.5955,ewc,1700438599.6716614,replay,True,1000,0.597
44,3,4,0.46,ewc,1700438599.6716614,replay,True,1000,0.5185
45,4,0,0.025,ewc,1700438599.6716614,replay,True,1000,0.388
46,4,1,0.025,ewc,1700438599.6716614,replay,True,1000,0.4155
47,4,2,0.025,ewc,1700438599.6716614,replay,True,1000,0.4085
48,4,3,0.025,ewc,1700438599.6716614,replay,True,1000,0.4125
49,4,4,0.547,ewc,1700438599.6716614,replay,True,1000,0.5465
50,0,0,0.542,ewc,1700438599.669478,replay,True,5000,0.542
51,0,1,0.5745,ewc,1700438599.669478,replay,True,5000,0.532
52,0,2,0.5415,ewc,1700438599.669478,replay,True,5000,0.5025
53,0,3,0.51,ewc,1700438599.669478,replay,True,5000,0.4895
54,0,4,0.48,ewc,1700438599.669478,replay,True,5000,0.4565
55,1,0,0.025,ewc,1700438599.669478,replay,True,5000,0.47
56,1,1,0.6365,ewc,1700438599.669478,replay,True,5000,0.635
57,1,2,0.5665,ewc,1700438599.669478,replay,True,5000,0.599
58,1,3,0.525,ewc,1700438599.669478,replay,True,5000,0.5825
59,1,4,0.532,ewc,1700438599.669478,replay,True,5000,0.57
60,2,0,0.025,ewc,1700438599.669478,replay,True,5000,0.445
61,2,1,0.025,ewc,1700438599.669478,replay,True,5000,0.465
62,2,2,0.595,ewc,1700438599.669478,replay,True,5000,0.6025
63,2,3,0.518,ewc,1700438599.669478,replay,True,5000,0.5465
64,2,4,0.4975,ewc,1700438599.669478,replay,True,5000,0.5405
65,3,0,0.025,ewc,1700438599.669478,replay,True,5000,0.394
66,3,1,0.025,ewc,1700438599.669478,replay,True,5000,0.401
67,3,2,0.025,ewc,1700438599.669478,replay,True,5000,0.422
