acc_after_t0_t0,acc_after_t0_t1,acc_after_t1_t0,acc_after_t1_t1,mean_distance,mean_distance_null,mean_distance_range,batchsize,classes,epochs,ewc_lambda,hostname,knob_null,knob_range,l1,local_logdir,lr,nsamples_t0_eval,nsamples_t0_train,nsplits,nworkers,project,recompute_every_n_epochs,recompute_every_n_steps,seed,shuffle_classes,subspace_batchsize,subspace_epochs,use_projected_gradients,use_t0_projection,var_explained,wandb_id,wandb_name,wandb_project,wandb_url,warmup_epochs,with_bias,distances,distances_act_null,distances_act_range,distances_grad_null,distances_grad_range,name,channels_per_block,dense_size
0.7716,0.12,0.6068,0.796,6.5427751541137695,4.568113803863525,4.61810302734375,64,"[[7, 2, 5, 9, 0], [3, 8, 6, 4, 1]]",30,0.001,klab-1,,,0.0,logs/ewc/ewc_lambda_0.001_warmup_5_params_64_4_2_True_42_30_False_0.0,0.001,512,512,2,4,ewc,,,42,True,64,0,False,False,0.999,ji6mf7kr,ewc_lambda_0.001_warmup_5_params_64_4_2_True_42_30_False_0.0,ewc,https://wandb.ai/kietzmannlab/ewc/runs/ji6mf7kr,5,False,6.5427751541137695,2.410898447036743,6.018491744995117,5.400490760803223,3.4711008071899414,ewc_lambda_0.001_warmup_5_params_64_4_2_True_42_30_False_0.0,,
0.7716,0.12,0.6286,0.7746,4.9923577308654785,3.464608669281006,3.5411858558654785,64,"[[7, 2, 5, 9, 0], [3, 8, 6, 4, 1]]",30,0.01,klab-1,,,0.0,logs/ewc/ewc_lambda_0.01_warmup_5_params_64_4_2_True_42_30_False_0.0,0.001,512,512,2,4,ewc,,,42,True,64,0,False,False,0.999,u0zxzeug,ewc_lambda_0.01_warmup_5_params_64_4_2_True_42_30_False_0.0,ewc,https://wandb.ai/kietzmannlab/ewc/runs/u0zxzeug,5,False,4.9923577308654785,1.5605195760726929,4.686540126800537,4.000460624694824,2.8217508792877197,ewc_lambda_0.01_warmup_5_params_64_4_2_True_42_30_False_0.0,,
0.7716,0.12,0.6674,0.7356,4.560735702514648,3.193838357925415,3.191471576690674,64,"[[7, 2, 5, 9, 0], [3, 8, 6, 4, 1]]",30,0.1,klab-1,,,0.0,logs/ewc/ewc_lambda_0.1_warmup_5_params_64_4_2_True_42_30_False_0.0,0.001,512,512,2,4,ewc,,,42,True,64,0,False,False,0.999,279v8wo6,ewc_lambda_0.1_warmup_5_params_64_4_2_True_42_30_False_0.0,ewc,https://wandb.ai/kietzmannlab/ewc/runs/279v8wo6,5,False,4.560735702514648,1.5485167503356934,4.246466636657715,3.653809070587158,2.5913004875183105,ewc_lambda_0.1_warmup_5_params_64_4_2_True_42_30_False_0.0,,
0.7716,0.12,0.7358,0.6864,3.537867546081543,2.611971378326416,2.3432915210723877,64,"[[7, 2, 5, 9, 0], [3, 8, 6, 4, 1]]",30,1.0,klab-1,,,0.0,logs/ewc/ewc_lambda_1.0_warmup_5_params_64_4_2_True_42_30_False_0.0,0.001,512,512,2,4,ewc,,,42,True,64,0,False,False,0.999,zxwk1ykp,ewc_lambda_1.0_warmup_5_params_64_4_2_True_42_30_False_0.0,ewc,https://wandb.ai/kietzmannlab/ewc/runs/zxwk1ykp,5,False,3.537867546081543,1.4052401781082153,3.220486640930176,2.911370038986206,1.9195976257324219,ewc_lambda_1.0_warmup_5_params_64_4_2_True_42_30_False_0.0,,
0.7716,0.12,0.7548,0.642,3.1434078216552734,2.570188045501709,1.7684472799301147,64,"[[7, 2, 5, 9, 0], [3, 8, 6, 4, 1]]",30,10.0,klab-1,,,0.0,logs/ewc/ewc_lambda_10.0_warmup_5_params_64_4_2_True_42_30_False_0.0,0.001,512,512,2,4,ewc,,,42,True,64,0,False,False,0.999,fps7f25s,ewc_lambda_10.0_warmup_5_params_64_4_2_True_42_30_False_0.0,ewc,https://wandb.ai/kietzmannlab/ewc/runs/fps7f25s,5,False,3.1434080600738525,1.4502742290496826,2.774327039718628,2.7015256881713867,1.5309889316558838,ewc_lambda_10.0_warmup_5_params_64_4_2_True_42_30_False_0.0,,
0.7716,0.12,0.7492,0.6272,2.651214838027954,2.116180658340454,1.5664896965026855,64,"[[7, 2, 5, 9, 0], [3, 8, 6, 4, 1]]",30,100.0,klab-1,,,0.0,logs/ewc/ewc_lambda_100.0_warmup_5_params_64_4_2_True_42_30_False_0.0,0.001,512,512,2,4,ewc,,,42,True,64,0,False,False,0.999,oh1zdwpx,ewc_lambda_100.0_warmup_5_params_64_4_2_True_42_30_False_0.0,ewc,https://wandb.ai/kietzmannlab/ewc/runs/oh1zdwpx,5,False,2.651214838027954,1.1666003465652466,2.369450092315674,2.321726083755493,1.2047244310379028,ewc_lambda_100.0_warmup_5_params_64_4_2_True_42_30_False_0.0,,
0.7716,0.12,0.762,0.6134,2.367182731628418,1.9473702907562256,1.3177039623260498,64,"[[7, 2, 5, 9, 0], [3, 8, 6, 4, 1]]",30,1000.0,klab-1,,,0.0,logs/ewc/ewc_lambda_1000.0_warmup_5_params_64_4_2_True_42_30_False_0.0,0.001,512,512,2,4,ewc,,,42,True,64,0,False,False,0.999,g472l8o1,ewc_lambda_1000.0_warmup_5_params_64_4_2_True_42_30_False_0.0,ewc,https://wandb.ai/kietzmannlab/ewc/runs/g472l8o1,5,False,2.367182731628418,1.2883152961730957,1.9656201601028442,2.091233253479004,1.0670199394226074,ewc_lambda_1000.0_warmup_5_params_64_4_2_True_42_30_False_0.0,,
0.7716,0.12,0.7728,0.601,1.5248948335647583,1.2444136142730713,0.8492388725280762,64,"[[7, 2, 5, 9, 0], [3, 8, 6, 4, 1]]",30,10000.0,klab-1,,,0.0,logs/ewc/ewc_lambda_10000.0_warmup_5_params_64_4_2_True_42_30_False_0.0,0.001,512,512,2,4,ewc,,,42,True,64,0,False,False,0.999,9q165hfq,ewc_lambda_10000.0_warmup_5_params_64_4_2_True_42_30_False_0.0,ewc,https://wandb.ai/kietzmannlab/ewc/runs/9q165hfq,5,False,1.5248948335647583,0.8017053604125977,1.2837903499603271,1.3737890720367432,0.641281008720398,ewc_lambda_10000.0_warmup_5_params_64_4_2_True_42_30_False_0.0,,
0.7716,0.12,0.7706,0.587,1.1783579587936401,0.9071517586708069,0.7409670948982239,64,"[[7, 2, 5, 9, 0], [3, 8, 6, 4, 1]]",30,100000.0,klab-1,,,0.0,logs/ewc/ewc_lambda_100000.0_warmup_5_params_64_4_2_True_42_30_False_0.0,0.001,512,512,2,4,ewc,,,42,True,64,0,False,False,0.999,v2az09vr,ewc_lambda_100000.0_warmup_5_params_64_4_2_True_42_30_False_0.0,ewc,https://wandb.ai/kietzmannlab/ewc/runs/v2az09vr,5,False,1.1783579587936401,0.4910840690135956,1.0638302564620972,0.9991716742515564,0.6173703074455261,ewc_lambda_100000.0_warmup_5_params_64_4_2_True_42_30_False_0.0,,
0.7716,0.12,0.7722,0.5862,0.9108632802963257,0.6972925066947937,0.5765241384506226,64,"[[7, 2, 5, 9, 0], [3, 8, 6, 4, 1]]",30,1000000.0,klab-1,,,0.0,logs/ewc/ewc_lambda_1000000.0_warmup_5_params_64_4_2_True_42_30_False_0.0,0.001,512,512,2,4,ewc,,,42,True,64,0,False,False,0.999,b0l7u79l,ewc_lambda_1000000.0_warmup_5_params_64_4_2_True_42_30_False_0.0,ewc,https://wandb.ai/kietzmannlab/ewc/runs/b0l7u79l,5,False,0.9108633995056152,0.38931283354759216,0.8179577589035034,0.7930325269699097,0.44342491030693054,ewc_lambda_1000000.0_warmup_5_params_64_4_2_True_42_30_False_0.0,,
