acc_after_t0_t0,acc_after_t0_t1,acc_after_t1_t0,acc_after_t1_t1,mean_distance,mean_distance_null,mean_distance_range,batchsize,classes,epochs,ewc_lambda,hostname,knob_null,knob_range,l1,local_logdir,lr,nsamples_t0_eval,nsamples_t0_train,nsplits,nworkers,project,recompute_every_n_epochs,recompute_every_n_steps,seed,shuffle_classes,subspace_batchsize,subspace_epochs,use_projected_gradients,use_t0_projection,var_explained,wandb_id,wandb_name,wandb_project,wandb_url,warmup_epochs,with_bias,distances,distances_act_null,distances_act_range,distances_grad_null,distances_grad_range,name,channels_per_block,dense_size
0.7716,0.12,0.7738,0.718,4.032559394836426,3.447502374649048,2.0283913612365723,64,"[[7, 2, 5, 9, 0], [3, 8, 6, 4, 1]]",30,,klab-1,0.4,0.0,0.0,logs/subspace_estimation_vary_null/subspace_epochs_20_sub_bs_64_var_exp_0.999_knobs_0.4_0.0_recompute_every_200_stepswarmup_5_params_64_4_2_True_42_30_False_0.0,0.001,512,512,2,4,subspace_estimation_vary_null,,200,42,True,64,20,True,False,0.999,jmv9ymfb,subspace_epochs_20_sub_bs_64_var_exp_0.999_knobs_0.4_0.0_recompute_every_200_stepswarmup_5_params_64_4_2_True_42_30_False_0.0,subspace_estimation_vary_null,https://wandb.ai/kietzmannlab/subspace_estimation_vary_null/runs/jmv9ymfb,5,False,4.032558917999268,2.2829487323760986,3.270127296447754,3.740903854370117,1.4151968955993652,subspace_epochs_20_sub_bs_64_var_exp_0.999_knobs_0.4_0.0_recompute_every_200_stepswarmup_5_params_64_4_2_True_42_30_False_0.0,,
0.7716,0.12,0.7766,0.7028,2.8217546939849854,2.3489608764648438,1.5180602073669434,64,"[[7, 2, 5, 9, 0], [3, 8, 6, 4, 1]]",30,,klab-1,0.2,0.0,0.0,logs/subspace_estimation_vary_null/subspace_epochs_20_sub_bs_64_var_exp_0.999_knobs_0.2_0.0_recompute_every_200_stepswarmup_5_params_64_4_2_True_42_30_False_0.0,0.001,512,512,2,4,subspace_estimation_vary_null,,200,42,True,64,20,True,False,0.999,2nlanfgi,subspace_epochs_20_sub_bs_64_var_exp_0.999_knobs_0.2_0.0_recompute_every_200_stepswarmup_5_params_64_4_2_True_42_30_False_0.0,subspace_estimation_vary_null,https://wandb.ai/kietzmannlab/subspace_estimation_vary_null/runs/2nlanfgi,5,False,2.8217549324035645,1.4423145055770874,2.383957624435425,2.5834312438964844,1.0670076608657837,subspace_epochs_20_sub_bs_64_var_exp_0.999_knobs_0.2_0.0_recompute_every_200_stepswarmup_5_params_64_4_2_True_42_30_False_0.0,,
0.7716,0.12,0.7606,0.7276,6.045650482177734,5.3408203125,2.7263710498809814,64,"[[7, 2, 5, 9, 0], [3, 8, 6, 4, 1]]",30,,klab-1,0.9,0.0,0.0,logs/subspace_estimation_vary_null/subspace_epochs_20_sub_bs_64_var_exp_0.999_knobs_0.9_0.0_recompute_every_200_stepswarmup_5_params_64_4_2_True_42_30_False_0.0,0.001,512,512,2,4,subspace_estimation_vary_null,,200,42,True,64,20,True,False,0.999,7xit7l98,subspace_epochs_20_sub_bs_64_var_exp_0.999_knobs_0.9_0.0_recompute_every_200_stepswarmup_5_params_64_4_2_True_42_30_False_0.0,subspace_estimation_vary_null,https://wandb.ai/kietzmannlab/subspace_estimation_vary_null/runs/7xit7l98,5,False,6.045650005340576,3.8051414489746094,4.614799499511719,5.692936897277832,1.8971937894821167,subspace_epochs_20_sub_bs_64_var_exp_0.999_knobs_0.9_0.0_recompute_every_200_stepswarmup_5_params_64_4_2_True_42_30_False_0.0,,
0.7716,0.12,0.7624,0.7326,5.016745090484619,4.355607032775879,2.4012770652770996,64,"[[7, 2, 5, 9, 0], [3, 8, 6, 4, 1]]",30,,klab-1,0.7,0.0,0.0,logs/subspace_estimation_vary_null/subspace_epochs_20_sub_bs_64_var_exp_0.999_knobs_0.7_0.0_recompute_every_200_stepswarmup_5_params_64_4_2_True_42_30_False_0.0,0.001,512,512,2,4,subspace_estimation_vary_null,,200,42,True,64,20,True,False,0.999,m50de4ze,subspace_epochs_20_sub_bs_64_var_exp_0.999_knobs_0.7_0.0_recompute_every_200_stepswarmup_5_params_64_4_2_True_42_30_False_0.0,subspace_estimation_vary_null,https://wandb.ai/kietzmannlab/subspace_estimation_vary_null/runs/m50de4ze,5,False,5.016745567321777,2.9272098541259766,4.009922504425049,4.705832004547119,1.6313258409500122,subspace_epochs_20_sub_bs_64_var_exp_0.999_knobs_0.7_0.0_recompute_every_200_stepswarmup_5_params_64_4_2_True_42_30_False_0.0,,
0.7716,0.12,0.7652,0.7232,4.54556941986084,3.909059762954712,2.244497299194336,64,"[[7, 2, 5, 9, 0], [3, 8, 6, 4, 1]]",30,,klab-1,0.5,0.0,0.0,logs/subspace_estimation_vary_null/subspace_epochs_20_sub_bs_64_var_exp_0.999_knobs_0.5_0.0_recompute_every_200_stepswarmup_5_params_64_4_2_True_42_30_False_0.0,0.001,512,512,2,4,subspace_estimation_vary_null,,200,42,True,64,20,True,False,0.999,08wmx383,subspace_epochs_20_sub_bs_64_var_exp_0.999_knobs_0.5_0.0_recompute_every_200_stepswarmup_5_params_64_4_2_True_42_30_False_0.0,subspace_estimation_vary_null,https://wandb.ai/kietzmannlab/subspace_estimation_vary_null/runs/08wmx383,5,False,4.54556941986084,2.6654157638549805,3.6176257133483887,4.240462779998779,1.5229463577270508,subspace_epochs_20_sub_bs_64_var_exp_0.999_knobs_0.5_0.0_recompute_every_200_stepswarmup_5_params_64_4_2_True_42_30_False_0.0,,
0.7716,0.12,0.7652,0.7338,5.40032958984375,4.752340793609619,2.4610960483551025,64,"[[7, 2, 5, 9, 0], [3, 8, 6, 4, 1]]",30,,klab-1,0.8,0.0,0.0,logs/subspace_estimation_vary_null/subspace_epochs_20_sub_bs_64_var_exp_0.999_knobs_0.8_0.0_recompute_every_200_stepswarmup_5_params_64_4_2_True_42_30_False_0.0,0.001,512,512,2,4,subspace_estimation_vary_null,,200,42,True,64,20,True,False,0.999,koefqs5f,subspace_epochs_20_sub_bs_64_var_exp_0.999_knobs_0.8_0.0_recompute_every_200_stepswarmup_5_params_64_4_2_True_42_30_False_0.0,subspace_estimation_vary_null,https://wandb.ai/kietzmannlab/subspace_estimation_vary_null/runs/koefqs5f,5,False,5.40032958984375,3.444181203842163,4.081408500671387,5.083033084869385,1.708871841430664,subspace_epochs_20_sub_bs_64_var_exp_0.999_knobs_0.8_0.0_recompute_every_200_stepswarmup_5_params_64_4_2_True_42_30_False_0.0,,
0.7716,0.12,0.776,0.6774,1.7937978506088257,1.448032021522522,1.027423620223999,64,"[[7, 2, 5, 9, 0], [3, 8, 6, 4, 1]]",30,,klab-1,0.1,0.0,0.0,logs/subspace_estimation_vary_null/subspace_epochs_20_sub_bs_64_var_exp_0.999_knobs_0.1_0.0_recompute_every_200_stepswarmup_5_params_64_4_2_True_42_30_False_0.0,0.001,512,512,2,4,subspace_estimation_vary_null,,200,42,True,64,20,True,False,0.999,5y4537re,subspace_epochs_20_sub_bs_64_var_exp_0.999_knobs_0.1_0.0_recompute_every_200_stepswarmup_5_params_64_4_2_True_42_30_False_0.0,subspace_estimation_vary_null,https://wandb.ai/kietzmannlab/subspace_estimation_vary_null/runs/5y4537re,5,False,1.7937978506088257,0.8606983423233032,1.5457321405410767,1.6192536354064941,0.720694899559021,subspace_epochs_20_sub_bs_64_var_exp_0.999_knobs_0.1_0.0_recompute_every_200_stepswarmup_5_params_64_4_2_True_42_30_False_0.0,,
0.7716,0.12,0.7716,0.5786,0.0,0.0,0.0,64,"[[7, 2, 5, 9, 0], [3, 8, 6, 4, 1]]",30,,klab-1,0.0,0.0,0.0,logs/subspace_estimation_vary_null/subspace_epochs_20_sub_bs_64_var_exp_0.999_knobs_0.0_0.0_recompute_every_200_stepswarmup_5_params_64_4_2_True_42_30_False_0.0,0.001,512,512,2,4,subspace_estimation_vary_null,,200,42,True,64,20,True,False,0.999,ecwice2c,subspace_epochs_20_sub_bs_64_var_exp_0.999_knobs_0.0_0.0_recompute_every_200_stepswarmup_5_params_64_4_2_True_42_30_False_0.0,subspace_estimation_vary_null,https://wandb.ai/kietzmannlab/subspace_estimation_vary_null/runs/ecwice2c,5,False,0.0,0.0,0.0,0.0,0.0,subspace_epochs_20_sub_bs_64_var_exp_0.999_knobs_0.0_0.0_recompute_every_200_stepswarmup_5_params_64_4_2_True_42_30_False_0.0,,
0.8092,0.1882,0.8002,0.619,5.948413372039795,4.990644454956055,3.1048762798309326,64,"[[4, 0, 9, 7, 8], [5, 2, 3, 1, 6]]",30,,klab-1,0.9,0.0,0.0,logs/subspace_estimation_vary_null/subspace_epochs_20_sub_bs_64_var_exp_0.999_knobs_0.9_0.0_recompute_every_200_stepswarmup_5_params_64_4_2_True_44_30_False_0.0,0.001,512,512,2,4,subspace_estimation_vary_null,,200,44,True,64,20,True,False,0.999,pw8pz7b6,subspace_epochs_20_sub_bs_64_var_exp_0.999_knobs_0.9_0.0_recompute_every_200_stepswarmup_5_params_64_4_2_True_44_30_False_0.0,subspace_estimation_vary_null,https://wandb.ai/kietzmannlab/subspace_estimation_vary_null/runs/pw8pz7b6,5,False,5.948412895202637,3.900521993637085,4.378072738647461,5.587136268615723,1.9029449224472046,subspace_epochs_20_sub_bs_64_var_exp_0.999_knobs_0.9_0.0_recompute_every_200_stepswarmup_5_params_64_4_2_True_44_30_False_0.0,"[8, 8, 16, 16, 32]",64.0
0.8092,0.1882,0.7962,0.6182,5.480731964111328,4.561633586883545,2.9123542308807373,64,"[[4, 0, 9, 7, 8], [5, 2, 3, 1, 6]]",30,,klab-1,0.8,0.0,0.0,logs/subspace_estimation_vary_null/subspace_epochs_20_sub_bs_64_var_exp_0.999_knobs_0.8_0.0_recompute_every_200_stepswarmup_5_params_64_4_2_True_44_30_False_0.0,0.001,512,512,2,4,subspace_estimation_vary_null,,200,44,True,64,20,True,False,0.999,u7ypbju2,subspace_epochs_20_sub_bs_64_var_exp_0.999_knobs_0.8_0.0_recompute_every_200_stepswarmup_5_params_64_4_2_True_44_30_False_0.0,subspace_estimation_vary_null,https://wandb.ai/kietzmannlab/subspace_estimation_vary_null/runs/u7ypbju2,5,False,5.48073148727417,3.540947675704956,4.081539154052734,5.1104960441589355,1.8481521606445312,subspace_epochs_20_sub_bs_64_var_exp_0.999_knobs_0.8_0.0_recompute_every_200_stepswarmup_5_params_64_4_2_True_44_30_False_0.0,"[8, 8, 16, 16, 32]",64.0
