acc_after_t0_t0,acc_after_t0_t1,acc_after_t1_t0,acc_after_t1_t1,mean_distance,mean_distance_null,mean_distance_range,batchsize,classes,epochs,ewc_lambda,hostname,knob_null,knob_range,l1,local_logdir,lr,nsamples_t0_eval,nsamples_t0_train,nsplits,nworkers,project,recompute_every_n_epochs,recompute_every_n_steps,seed,shuffle_classes,subspace_batchsize,subspace_epochs,use_projected_gradients,use_t0_projection,var_explained,wandb_id,wandb_name,wandb_project,wandb_url,warmup_epochs,with_bias,distances,distances_act_null,distances_act_range,distances_grad_null,distances_grad_range,name,channels_per_block,dense_size
0.7716,0.12,0.7592,0.7322,6.1488142013549805,5.508642196655273,2.6173501014709473,64,"[[7, 2, 5, 9, 0], [3, 8, 6, 4, 1]]",30,,klab-1,1.0,0.0,0.0,logs/subspace_estimation_vary_range/subspace_epochs_20_sub_bs_64_var_exp_0.999_knobs_1.0_0.0_recompute_every_200_stepswarmup_5_params_64_4_2_True_42_30_False_0.0,0.001,512,512,2,4,subspace_estimation_vary_range,,200,42,True,64,20,True,False,0.999,rq4hbesg,subspace_epochs_20_sub_bs_64_var_exp_0.999_knobs_1.0_0.0_recompute_every_200_stepswarmup_5_params_64_4_2_True_42_30_False_0.0,subspace_estimation_vary_range,https://wandb.ai/kietzmannlab/subspace_estimation_vary_range/runs/rq4hbesg,5,False,6.148813247680664,4.05977201461792,4.535226345062256,5.835727691650391,1.7898943424224854,subspace_epochs_20_sub_bs_64_var_exp_0.999_knobs_1.0_0.0_recompute_every_200_stepswarmup_5_params_64_4_2_True_42_30_False_0.0,,
0.7716,0.12,0.729,0.7542,9.819110870361328,8.047769546508789,5.509824275970459,64,"[[7, 2, 5, 9, 0], [3, 8, 6, 4, 1]]",30,,klab-1,1.0,0.05,0.0,logs/subspace_estimation_vary_range/subspace_epochs_20_sub_bs_64_var_exp_0.999_knobs_1.0_0.05_recompute_every_200_stepswarmup_5_params_64_4_2_True_42_30_False_0.0,0.001,512,512,2,4,subspace_estimation_vary_range,,200,42,True,64,20,True,False,0.999,wps8gp9t,subspace_epochs_20_sub_bs_64_var_exp_0.999_knobs_1.0_0.05_recompute_every_200_stepswarmup_5_params_64_4_2_True_42_30_False_0.0,subspace_estimation_vary_range,https://wandb.ai/kietzmannlab/subspace_estimation_vary_range/runs/wps8gp9t,5,False,9.819110870361328,5.04480504989624,8.325163841247559,8.967947006225586,3.7795569896698,subspace_epochs_20_sub_bs_64_var_exp_0.999_knobs_1.0_0.05_recompute_every_200_stepswarmup_5_params_64_4_2_True_42_30_False_0.0,,
0.7716,0.12,0.7046,0.7672,9.596309661865234,7.735179901123047,5.581090450286865,64,"[[7, 2, 5, 9, 0], [3, 8, 6, 4, 1]]",30,,klab-1,1.0,0.1,0.0,logs/subspace_estimation_vary_range/subspace_epochs_20_sub_bs_64_var_exp_0.999_knobs_1.0_0.1_recompute_every_200_stepswarmup_5_params_64_4_2_True_42_30_False_0.0,0.001,512,512,2,4,subspace_estimation_vary_range,,200,42,True,64,20,True,False,0.999,jusb7755,subspace_epochs_20_sub_bs_64_var_exp_0.999_knobs_1.0_0.1_recompute_every_200_stepswarmup_5_params_64_4_2_True_42_30_False_0.0,subspace_estimation_vary_range,https://wandb.ai/kietzmannlab/subspace_estimation_vary_range/runs/jusb7755,5,False,9.596309661865234,4.964419364929199,8.132635116577148,8.73080825805664,3.7529754638671875,subspace_epochs_20_sub_bs_64_var_exp_0.999_knobs_1.0_0.1_recompute_every_200_stepswarmup_5_params_64_4_2_True_42_30_False_0.0,,
0.7716,0.12,0.671,0.7756,8.329859733581543,6.408626079559326,5.229470252990723,64,"[[7, 2, 5, 9, 0], [3, 8, 6, 4, 1]]",30,,klab-1,1.0,0.2,0.0,logs/subspace_estimation_vary_range/subspace_epochs_20_sub_bs_64_var_exp_0.999_knobs_1.0_0.2_recompute_every_200_stepswarmup_5_params_64_4_2_True_42_30_False_0.0,0.001,512,512,2,4,subspace_estimation_vary_range,,200,42,True,64,20,True,False,0.999,8tygazgt,subspace_epochs_20_sub_bs_64_var_exp_0.999_knobs_1.0_0.2_recompute_every_200_stepswarmup_5_params_64_4_2_True_42_30_False_0.0,subspace_estimation_vary_range,https://wandb.ai/kietzmannlab/subspace_estimation_vary_range/runs/8tygazgt,5,False,8.329859733581543,4.244677543640137,7.072767734527588,7.308014869689941,3.742366313934326,subspace_epochs_20_sub_bs_64_var_exp_0.999_knobs_1.0_0.2_recompute_every_200_stepswarmup_5_params_64_4_2_True_42_30_False_0.0,,
0.7716,0.12,0.645,0.7876,7.52764368057251,5.526852130889893,5.0338568687438965,64,"[[7, 2, 5, 9, 0], [3, 8, 6, 4, 1]]",30,,klab-1,1.0,0.3,0.0,logs/subspace_estimation_vary_range/subspace_epochs_20_sub_bs_64_var_exp_0.999_knobs_1.0_0.3_recompute_every_200_stepswarmup_5_params_64_4_2_True_42_30_False_0.0,0.001,512,512,2,4,subspace_estimation_vary_range,,200,42,True,64,20,True,False,0.999,9tze5mv6,subspace_epochs_20_sub_bs_64_var_exp_0.999_knobs_1.0_0.3_recompute_every_200_stepswarmup_5_params_64_4_2_True_42_30_False_0.0,subspace_estimation_vary_range,https://wandb.ai/kietzmannlab/subspace_estimation_vary_range/runs/9tze5mv6,5,False,7.52764368057251,3.4637532234191895,6.5994873046875,6.439952373504639,3.660585641860962,subspace_epochs_20_sub_bs_64_var_exp_0.999_knobs_1.0_0.3_recompute_every_200_stepswarmup_5_params_64_4_2_True_42_30_False_0.0,,
0.7716,0.12,0.6142,0.8002,7.17326021194458,5.177466869354248,4.9036102294921875,64,"[[7, 2, 5, 9, 0], [3, 8, 6, 4, 1]]",30,,klab-1,1.0,0.4,0.0,logs/subspace_estimation_vary_range/subspace_epochs_20_sub_bs_64_var_exp_0.999_knobs_1.0_0.4_recompute_every_200_stepswarmup_5_params_64_4_2_True_42_30_False_0.0,0.001,512,512,2,4,subspace_estimation_vary_range,,200,42,True,64,20,True,False,0.999,ngvdqfz2,subspace_epochs_20_sub_bs_64_var_exp_0.999_knobs_1.0_0.4_recompute_every_200_stepswarmup_5_params_64_4_2_True_42_30_False_0.0,subspace_estimation_vary_range,https://wandb.ai/kietzmannlab/subspace_estimation_vary_range/runs/ngvdqfz2,5,False,7.17326021194458,3.218442916870117,6.333941459655762,6.044195175170898,3.6573777198791504,subspace_epochs_20_sub_bs_64_var_exp_0.999_knobs_1.0_0.4_recompute_every_200_stepswarmup_5_params_64_4_2_True_42_30_False_0.0,,
0.7716,0.12,0.608,0.7946,6.3813157081604,4.525528907775879,4.442511081695557,64,"[[7, 2, 5, 9, 0], [3, 8, 6, 4, 1]]",30,,klab-1,1.0,0.5,0.0,logs/subspace_estimation_vary_range/subspace_epochs_20_sub_bs_64_var_exp_0.999_knobs_1.0_0.5_recompute_every_200_stepswarmup_5_params_64_4_2_True_42_30_False_0.0,0.001,512,512,2,4,subspace_estimation_vary_range,,200,42,True,64,20,True,False,0.999,xssjf66s,subspace_epochs_20_sub_bs_64_var_exp_0.999_knobs_1.0_0.5_recompute_every_200_stepswarmup_5_params_64_4_2_True_42_30_False_0.0,subspace_estimation_vary_range,https://wandb.ai/kietzmannlab/subspace_estimation_vary_range/runs/xssjf66s,5,False,6.381315231323242,2.6212496757507324,5.747486591339111,5.268146514892578,3.424619197845459,subspace_epochs_20_sub_bs_64_var_exp_0.999_knobs_1.0_0.5_recompute_every_200_stepswarmup_5_params_64_4_2_True_42_30_False_0.0,,
0.7396,0.3324,0.7156,0.7708,8.990898132324219,7.324637413024902,5.073039531707764,64,"[[8, 5, 9, 3, 4], [1, 6, 7, 2, 0]]",30,,klab-1,1.0,0.05,0.0,logs/subspace_estimation_vary_range/subspace_epochs_20_sub_bs_64_var_exp_0.999_knobs_1.0_0.05_recompute_every_200_stepswarmup_5_params_64_4_2_True_43_30_False_0.0_1,0.001,512,512,2,4,subspace_estimation_vary_range,,200,43,True,64,20,True,False,0.999,zoj0m398,subspace_epochs_20_sub_bs_64_var_exp_0.999_knobs_1.0_0.05_recompute_every_200_stepswarmup_5_params_64_4_2_True_43_30_False_0.0,subspace_estimation_vary_range,https://wandb.ai/kietzmannlab/subspace_estimation_vary_range/runs/zoj0m398,5,False,8.990898132324219,4.957160472869873,7.411762714385986,8.281359672546387,3.2258594036102295,subspace_epochs_20_sub_bs_64_var_exp_0.999_knobs_1.0_0.05_recompute_every_200_stepswarmup_5_params_64_4_2_True_43_30_False_0.0,"[8, 8, 16, 16, 32]",64.0
0.7396,0.3324,0.6246,0.7908,8.148760795593262,6.239123821258545,5.104974269866943,64,"[[8, 5, 9, 3, 4], [1, 6, 7, 2, 0]]",30,,klab-1,1.0,0.2,0.0,logs/subspace_estimation_vary_range/subspace_epochs_20_sub_bs_64_var_exp_0.999_knobs_1.0_0.2_recompute_every_200_stepswarmup_5_params_64_4_2_True_43_30_False_0.0,0.001,512,512,2,4,subspace_estimation_vary_range,,200,43,True,64,20,True,False,0.999,tsdjjbw4,subspace_epochs_20_sub_bs_64_var_exp_0.999_knobs_1.0_0.2_recompute_every_200_stepswarmup_5_params_64_4_2_True_43_30_False_0.0,subspace_estimation_vary_range,https://wandb.ai/kietzmannlab/subspace_estimation_vary_range/runs/tsdjjbw4,5,False,8.148761749267578,4.148162364959717,6.928048610687256,7.139627933502197,3.623408317565918,subspace_epochs_20_sub_bs_64_var_exp_0.999_knobs_1.0_0.2_recompute_every_200_stepswarmup_5_params_64_4_2_True_43_30_False_0.0,"[8, 8, 16, 16, 32]",64.0
0.7396,0.3324,0.7308,0.7556,5.6310014724731445,4.941413402557373,2.6092278957366943,64,"[[8, 5, 9, 3, 4], [1, 6, 7, 2, 0]]",30,,klab-1,1.0,0.0,0.0,logs/subspace_estimation_vary_range/subspace_epochs_20_sub_bs_64_var_exp_0.999_knobs_1.0_0.0_recompute_every_200_stepswarmup_5_params_64_4_2_True_43_30_False_0.0,0.001,512,512,2,4,subspace_estimation_vary_range,,200,43,True,64,20,True,False,0.999,wuatt1hq,subspace_epochs_20_sub_bs_64_var_exp_0.999_knobs_1.0_0.0_recompute_every_200_stepswarmup_5_params_64_4_2_True_43_30_False_0.0,subspace_estimation_vary_range,https://wandb.ai/kietzmannlab/subspace_estimation_vary_range/runs/wuatt1hq,5,False,5.6310014724731445,3.769530773162842,4.118383407592773,5.386451244354248,1.4968935251235962,subspace_epochs_20_sub_bs_64_var_exp_0.999_knobs_1.0_0.0_recompute_every_200_stepswarmup_5_params_64_4_2_True_43_30_False_0.0,"[8, 8, 16, 16, 32]",64.0
